,field,full_field_name
0,ogcFd,ogc_fid
1,wkbGmtry,wkb_geometry
2,geometry,geometry
3,lyrNm,layer_name
4,lyrId,layer_id
5,lyrKy,layer_key
6,svcNm,svc_name
7,svcId,svc_id
8,lbl,label
9,ar,area
10,stbck,setback
11,exFrmBldbl,exclude_from_buildable
12,ftrWdth,feature_width
